Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Name	Queried_Marker	Queried_Major_Name	Parent_Name
MG	MG	Dbi	Dbi		0.406263605953113	Queried	MG	Dbi	MG	
MG	MG	Gng5	Gng5		0.328761364710965	Queried	MG	Gng5	MG	
MG	MG	Gpr37	Gpr37		0.342904207659925	Queried	MG	Gpr37	MG	
MG	MG	Il33	Il33		0.318082373327287	Queried	MG	Il33	MG	
MG	MG	Prdx6	Prdx6		0.476966852597631	Queried	MG	Prdx6	MG	
MG	MG	Rlbp1	Rlbp1		0.334110047399776	Queried	MG	Rlbp1	MG	
MG	MG	Spc25	Spc25		0.24574820986829	Queried	MG	Spc25	MG	
UNASSIGNED_MICROGLIA	Microglia	C1qa	C1qa		0.348975017429964	Queried	UNASSIGNED_Microglia	C1qa	Microglia	
UNASSIGNED_MICROGLIA	Microglia	C1qb	C1qb		0.352392539956492	Queried	UNASSIGNED_Microglia	C1qb	Microglia	
UNASSIGNED_MICROGLIA	Microglia	Cd74	Cd74		0.408551910261273	Queried	UNASSIGNED_Microglia	Cd74	Microglia	
UNASSIGNED_MICROGLIA	Microglia	Ftl1	Ftl1		0.280894505357284	Queried	UNASSIGNED_Microglia	Ftl1	Microglia	
UNASSIGNED_MICROGLIA	Microglia	Selenop	Selenop		0.416364837997817	Queried	UNASSIGNED_Microglia	Selenop	Microglia	
UNASSIGNED_MICROGLIA	Microglia	Trem2	Trem2		0.320364901076773	Queried	UNASSIGNED_Microglia	Trem2	Microglia	
CYCLING_MICROGLIA	Microglia	Cd52	Cd52		0.238870382260203	Queried	Microglia(cycling)	Cd52	Microglia	
CYCLING_MICROGLIA	Microglia	Cdkn1a	Cdkn1a		0.368329406596658	Queried	Microglia(cycling)	Cdkn1a	Microglia	
CYCLING_MICROGLIA	Microglia	Coro1a	Coro1a		0.229116723229854	Queried	Microglia(cycling)	Coro1a	Microglia	
CYCLING_MICROGLIA	Microglia	Cxcl10	Cxcl10		0.258977875766993	Queried	Microglia(cycling)	Cxcl10	Microglia	
CYCLING_MICROGLIA	Microglia	Hmgb2	Hmgb2		0.692836895071747	Queried	Microglia(cycling)	Hmgb2	Microglia	
PERICYTE	Pericyte	Atp1a2	Atp1a2		0.150455952	Queried	Pericyte	Atp1a2	Pericyte	
PERICYTE	Pericyte	Cald1	Cald1		0.254680063650809	Queried	Pericyte	Cald1	Pericyte	
PERICYTE	Pericyte	Crip1	Crip1		0.131218570320982	Queried	Pericyte	Crip1	Pericyte	
PERICYTE	Pericyte	Dlc1	Dlc1		0.175639956467438	Queried	Pericyte	Dlc1	Pericyte	
PERICYTE	Pericyte	Mgp	Mgp		0.231164020159614	Queried	Pericyte	Mgp	Pericyte	
PERICYTE	Pericyte	Myl9	Myl9		0.28164003578711	Queried	Pericyte	Myl9	Pericyte	
