Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Grid2,AC11,,AC,0.26835147969138,Queried,Grid2,AC_11,AC
Gpr22,AC11,,AC,0.159697491639545,Queried,Gpr22,AC_11,AC
Rph3a,AC11,,AC,0.122214152092234,Queried,Rph3a,AC_11,AC
Mgat4c,AC11,,AC,0.175447949783347,Queried,Mgat4c,AC_11,AC
C1ql2,AC11,,AC,0.120869320910243,Queried,C1ql2,AC_11,AC
Chrm3,AC11,,AC,0.123739326377971,Queried,Chrm3,AC_11,AC
C1ql1,AC11,,AC,0.15536369903239,Queried,C1ql1,AC_11,AC
Pbx1,AC11,,AC,0.18996407919784,Queried,Pbx1,AC_11,AC
Pcdh15,AC11,,AC,0.152557877223272,Queried,Pcdh15,AC_11,AC
Alk,AC11,,AC,0.130621268815695,Queried,Alk,AC_11,AC
Pantr1,AC11,,AC,0.145241571663936,Queried,Pantr1,AC_11,AC
Nrg1_ensmusg00000062991,AC11,,AC,0.147940257524619,Queried,Nrg1_ENSMUSG00000062991,AC_11,AC
Pcp4,AC11,,AC,0.173868157511429,Queried,Pcp4,AC_11,AC
Cdh22,MOUSE AC,,AC,0.170223653683746,Queried,Cdh22,AC_12,AC
Cntn4,MOUSE AC,,AC,0.175196196920742,Queried,Cntn4,AC_12,AC
Ptgds,MOUSE AC,,AC,0.233187246853879,Queried,Ptgds,AC_12,AC
Ntm,MOUSE AC,,AC,0.180887069513327,Queried,Ntm,AC_12,AC
Ly6h,MOUSE AC,,AC,0.185627072657502,Queried,Ly6h,AC_12,AC
Rbms3,MOUSE AC,,AC,0.23624017272888,Queried,Rbms3,AC_12,AC
Pcdh7,MOUSE AC,,AC,0.320799855364734,Queried,Pcdh7,AC_12,AC
Ebf1,MOUSE AC,,AC,0.126173240143338,Queried,Ebf1,AC_12,AC
Lamp5,MOUSE AC,,AC,0.156793892978728,Queried,Lamp5,AC_12,AC
Rgs6,MOUSE AC,,AC,0.224825786577606,Queried,Rgs6,AC_12,AC
Slit2,MOUSE AC,,AC,0.12455942482461,Queried,Slit2,AC_12,AC
Glra3,MOUSE AC,,AC,0.271920321457001,Queried,Glra3,AC_12,AC
Gas7,MOUSE AC,,AC,0.199037173754979,Queried,Gas7,AC_12,AC
Gabra1,MOUSE AC,,AC,0.29020630988408,Queried,Gabra1,AC_12,AC
Gabrb2,MOUSE AC,,AC,0.216787986053132,Queried,Gabrb2,AC_12,AC
Ptprd,MOUSE AC,,AC,0.17030089398688,Queried,Ptprd,AC_12,AC
Ldhb,MOUSE AC,,AC,0.139924361395418,Queried,Ldhb,AC_12,AC
Slc24a3,MOUSE AC,,AC,0.216875930673977,Queried,Slc24a3,AC_12,AC
Cntn5,AC13,,AC,0.182857512390702,Queried,Cntn5,AC_13,AC
Gabra2,AC13,,AC,0.198153754366828,Queried,Gabra2,AC_13,AC
Celf2,AC13,,AC,0.19519396752861,Queried,Celf2,AC_13,AC
Grin2a,AC13,,AC,0.218776920037574,Queried,Grin2a,AC_13,AC
Slc17a8,AC13,,AC,0.411993702788892,Queried,Slc17a8,AC_13,AC
Itm2b,AC13,,AC,0.230585565799446,Queried,Itm2b,AC_13,AC
Pcp4,AC13,,AC,0.255137202645773,Queried,Pcp4,AC_13,AC
Thsd7a,AC13,,AC,0.270709874237503,Queried,Thsd7a,AC_13,AC
Gpc6,AC13,,AC,0.19715435914661,Queried,Gpc6,AC_13,AC
Slc24a3,AC13,,AC,0.178521176397872,Queried,Slc24a3,AC_13,AC
Sorcs1,AC13,,AC,0.220202159762671,Queried,Sorcs1,AC_13,AC
Pcdh7,AC13,,AC,0.346793046430918,Queried,Pcdh7,AC_13,AC
Nxph1,AC13,,AC,0.459263936062799,Queried,Nxph1,AC_13,AC
Prkg1,AC13,,AC,0.201449104791978,Queried,Prkg1,AC_13,AC
Pde1c,AC13,,AC,0.231273568009629,Queried,Pde1c,AC_13,AC
Car3,AC13,,AC,0.203995579580332,Queried,Car3,AC_13,AC
A930001a20rik,AC13,,AC,0.315031698636036,Queried,A930001A20Rik,AC_13,AC
Camk2n1,AC13,,AC,0.202914642718662,Queried,Camk2n1,AC_13,AC
Zfhx3,AC14,,AC,0.313057598802583,Queried,Zfhx3,AC_14,AC
Frmd5,AC14,,AC,0.386735903876321,Queried,Frmd5,AC_14,AC
Ptprt,AC14,,AC,0.270151608916735,Queried,Ptprt,AC_14,AC
Tenm3,AC14,,AC,0.336269678735744,Queried,Tenm3,AC_14,AC
Inpp4b,AC14,,AC,0.303601826596173,Queried,Inpp4b,AC_14,AC
Meis2,AC14,,AC,0.360855714363316,Queried,Meis2,AC_14,AC
Grik1,AC14,,AC,0.543066812822616,Queried,Grik1,AC_14,AC
Six3,AC14,,AC,0.294645979557124,Queried,Six3,AC_14,AC
Runx1t1,AC14,,AC,0.29986530793492,Queried,Runx1t1,AC_14,AC
Cadm1,AC14,,AC,0.265730845319134,Queried,Cadm1,AC_14,AC
Tfap2b,AC14,,AC,0.485539965386421,Queried,Tfap2b,AC_14,AC
