Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Lrrc4c,RGC,23_W3D2,ENSMUSG00000050587,Lrrc4c,0.4893092289631824
Rbfox1,RGC,23_W3D2,ENSMUSG00000008658,Rbfox1,0.4349016549093206
Slc24a3,RGC,23_W3D2,ENSMUSG00000063873,Slc24a3,0.410980006068826
Chrm2,RGC,23_W3D2,ENSMUSG00000045613,Chrm2,1.1178522858071718
Dpp10,RGC,23_W3D2,ENSMUSG00000036815,Dpp10,0.635773235677414
Ptn,RGC,23_W3D2,ENSMUSG00000029838,Ptn,0.6643660648476021
Mafb,RGC,23_W3D2,ENSMUSG00000074622,Mafb,0.9624982481037846
Pcdh7,RGC,23_W3D2,ENSMUSG00000029108,Pcdh7,0.7058077300821917
Camk2d,RGC,23_W3D2,ENSMUSG00000053819,Camk2d,0.4609187285332876
Ptprd,RGC,23_W3D2,ENSMUSG00000028399,Ptprd,0.3772722967400685
Kcnd2,RGC,23_W3D2,ENSMUSG00000060882,Kcnd2,0.9126172440810296
Sphkap,RGC,23_W3D2,ENSMUSG00000026163,Sphkap,0.6192069745157324
Gabrg3,RGC,23_W3D2,ENSMUSG00000055026,Gabrg3,0.4729679602276215
6330411D24Rik,RGC,23_W3D2,ENSMUSG00000110067,6330411D24Rik,0.7099172413791001
Egfem1,RGC,23_W3D2,ENSMUSG00000063600,Egfem1,0.3702972511590321
Egfem1,RGC,24_Novel,ENSMUSG00000063600,Egfem1,0.4255442681966236
Calb1,RGC,24_Novel,ENSMUSG00000028222,Calb1,0.971470806622528
Sgcz,RGC,24_Novel,ENSMUSG00000039539,Sgcz,0.4954631326547519
Gm32647,RGC,24_Novel,ENSMUSG00000108532,Gm32647,1.1945682264055026
Pvalb,RGC,24_Novel,ENSMUSG00000005716,Pvalb,0.5590956359129446
Pcdh10,RGC,24_Novel,ENSMUSG00000049100,Pcdh10,0.6672247236981523
Tafa2,RGC,24_Novel,ENSMUSG00000044071,Tafa2,0.5412928151428728
Sgcd,RGC,24_Novel,ENSMUSG00000020354,Sgcd,0.6117808006511712
Ano3,RGC,24_Novel,ENSMUSG00000074968,Ano3,0.7276228327338982
